No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
1037,Ba2_Ho6_Zr8_O24,Ba2Ho6Zr8O24.vasp,NOT,train,Ba2,8.0,Ba,2.0,Ho6,Ho,6.0,,0.371,-346.330972,-362.818972,-9.0704743,0.0,0.803142934,1.148142934,1.176870391,0.3710889619744384,-0.480569802,-0.481125079,-0.964955904,-0.965212325,0.2699952117816921,0.2700507848582926,0.029051767,0.02932855,1.148145191,1.177351447796728,0.8032151353571426,0.3710778414348707
4285,Pr8_Zr7_Fe1_O24,Pr8Zr7Fe1O24.vasp,NOT,train,Pr8,8.0,Pr,8.0,,,0.0,,0.524,-346.659139,-365.403139,-9.135078475,4.0,0.665938546,1.06063769,1.06063769,0.5244830571873897,-0.349174818,-0.348571909,-0.62735944,-0.627390841,0.342816406,0.3429411064506446,0.1290733666874206,0.1293960079815339,1.060619992445729,1.0602893781446685,0.6659522065018493,0.5239687009312542
3131,Ca4_Mg4_Ta4_Zr4_O24,Ca4Mg4Ta4Zr4O24.vasp,NOT,train,Ca4,8.0,Ca,4.0,Mg4,Mg,4.0,,0.017,-330.3847,-346.8727,-8.6718175,0.0,0.541815892,0.771815892,0.773991834,0.017308192,-0.784581724,-0.785412551,-3.611918413,-3.612194045,0.016713709,0.016886498,-0.841317474,-0.839615493,0.7718293611037607,0.7736723498782727,0.5417774133183144,0.0170679492932537
1757,Gd4_Y4_Co8_O24,Gd4Y4Co8O24.vasp,NOT,train,Gd4,8.0,Gd,4.0,Y4,Y,4.0,,0.116,-331.784124,-361.376124,-9.0344031,12.0,1.217137693,1.057479018,1.057479018,0.1155807083201497,-0.699561441,-0.700000264,-2.071473372,-2.072128591,0.1038581026254434,0.103861244,-0.261721659,-0.26306659,1.057414355857921,1.057844923660996,1.2171903720278778,0.11580933397894
4653,Sr8_Ce4_Fe4_O24,Sr8Ce4Fe4O24.vasp,NOT,test,Sr8,8.0,Sr,8.0,,,0.0,,0.002,-278.315951,-303.827951,-7.595698775,16.0,0.520900848,0.232226535,0.578078524,0.001974527,-0.797463585,-0.79755857,-4.422848629,-4.422674756,0.001995978,0.002006377,-1.687897006,-1.688044089,0.2322222946781444,0.5778566949013034,0.5209501477446657,0.001967588
1712,Ca4_La4_Cr8_O24,Ca4La4Cr8O24.vasp,NOT,test,Ca4,8.0,Ca,4.0,La4,La,4.0,,0.288,-305.488328,-337.968328,-8.4492082,20.0,0.511385091,0.242884902,0.298759705,0.287838733,-0.551849433,-0.551260058,-1.210661792,-1.21006824,0.2231935263936826,0.2231792820423275,-0.030651434,-0.03123257,0.2428153714394403,0.2981874595337936,0.5113312242813233,0.2880545319540765
4325,Sr8_Ni7_Zr1_O24,Sr8Ni7Zr1O24.vasp,NOT,test,Sr8,8.0,Sr,8.0,,,0.0,,0.003,-224.914337,-259.189337,-6.479733425,0.0,1.689510043,0.56606762,0.978490972,0.00332901,-0.796604795,-0.796428,-4.342805922,-4.34323308,0.002990959,0.003046467,-1.647229169,-1.64694077,0.5661176882296299,0.9789356698146092,1.6894454940564398,0.002870636
368,Ba2_Sr6_Sb8_O24,Ba2Sr6Sb8O24.vasp,NOT,train,Ba2,8.0,Ba,2.0,Sr6,Sr,6.0,,0.834,-245.608779,-262.096779,-6.552419475,0.0,0.298612346,0.713885386,0.800833353,0.8342470335183375,-0.082949688,-0.082459754,-0.169602784,-0.168966221,0.4528751074480834,0.4529624044283087,0.284404564,0.2841109893620834,0.7138344895675544,0.8002725452926522,0.2986105402615129,0.8338501991282969
719,Ba2_Sr6_Ta2_Nb6_O24,Ba2Sr6Ta2Nb6O24.vasp,NOT,train,Ba2,8.0,Ba,2.0,Sr6,Sr,6.0,,0.069,-328.475507,-344.963507,-8.624087675,0.9129,0.432867638,0.892867638,0.897186903,0.068708988,-0.739924606,-0.739975695,-2.538307427,-2.538040198,0.064514145,0.064506277,-0.398586723,-0.399095919,0.8928235366815193,0.8963605996404601,0.4328738582182746,0.06919311
4034,Pr8_Ga4_Co4_O24,Pr8Ga4Co4O24.vasp,NOT,train,Pr8,8.0,Pr,8.0,,,0.0,,0.981,-284.148237,-307.188237,-7.679705925,-6.0,0.490931141,0.153890171,0.153890171,0.9809059997062702,0.043292551,0.044670036,-0.009040745,-0.0088497,0.4929437421121767,0.4928799662321368,0.3545285625259307,0.3558319044391229,0.1538997597445544,0.154211649,0.4910365547602335,0.9809260523914614
1806,La4_Sm4_Ga8_O24,La4Sm4Ga8O24.vasp,NOT,valid,La4,8.0,La,4.0,Sm4,Sm,4.0,,3.611,-286.828889,-303.316889,-7.582922225,0.0,1.126451631,0.355517433,0.408132342,3.610204417981521,2.3019122019118856,2.3016309274869218,1.286750230783504,1.286919122103129,0.7763490158595874,0.7763782394697161,1.7127793729422736,1.7138193044039416,0.3554582014702455,0.4074865940824858,1.1264377516848496,3.6109720097817246
3090,Ba4_Sr4_Al4_Zr4_O24,Ba4Sr4Al4Zr4O24.vasp,NOT,train,Ba4,8.0,Ba,4.0,Sr4,Sr,4.0,,4.488,-298.550407,-315.038407,-7.875960175,3.5772,0.452795726,0.222795726,0.38991683,4.487851579900713,3.055071682509112,3.0547130678427794,1.503632853537124,1.5039563352498797,0.8101716582205957,0.8100814608375154,2.4456568029926613,2.445498236809977,0.2228011851159484,0.3897470766120989,0.4528719872712538,4.488085238885666
127,Sr7_Ca1_Nb7_Ta1_O24,Sr7Ca1Nb7Ta1O24.vasp,NOT,test,Sr7,8.0,Sr,7.0,Ca1,Ca,1.0,,0.067,-325.688342,-342.176342,-8.55440855,-0.208,0.441661541,0.901661541,0.901661541,0.06640002,-0.741642187,-0.741511224,-2.563949857,-2.563656075,0.062762459,0.062755958,-0.405520952,-0.405352068,0.9015983439304976,0.9025026652815372,0.4417573138959764,0.06684585
3379,Y8_Hf8_O24,Y8Hf8O24.vasp,NOT,train,Y8,8.0,Y,8.0,,,0.0,,0.573,-380.158097,-396.646097,-9.916152425,0.0,1.072247426,1.532247426,1.532247426,0.5723600677970747,-0.307094072,-0.308068902,-0.539568093,-0.53929224,0.3631219518532599,0.363075379,0.1570746049238137,0.158026038,1.5322677084200698,1.5323929333720427,1.0723198337039936,0.5728807631079683
3287,Y4_Sr4_Ce4_Co4_O24,Y4Sr4Ce4Co4O24.vasp,NOT,train,Y4,8.0,Y,4.0,Sr4,Sr,4.0,,1.562,-299.792335,-322.832335,-8.070808375,-2.0,0.70285961,0.398485681,0.549322147,1.5619185617635436,0.5422499718734416,0.5424378308585172,0.4523486940070148,0.4522627811270116,0.6060326513746658,0.6058718546791972,0.6517458004933587,0.6520637269446097,0.3985250514541255,0.5498860967546038,0.7028721306603395,1.5619979471533458
1578,Ca2_Sr6_Zr4_Ni4_O24,Ca2Sr6Zr4Ni4O24.vasp,NOT,valid,Ca2,8.0,Ca,2.0,Sr6,Sr,6.0,,1.008,-270.328048,-296.980048,-7.4245012,0.0,1.042775136,0.414058037,0.627495339,1.0072884302383065,0.066479901,0.067043383,0.017839918,0.018833871,0.4996609079886877,0.4996109751184228,0.3681833142413924,0.3701623188272313,0.4140517675377698,0.6272730011136896,1.0427276763083522,1.0078762492122268
3979,Ba8_Y4_Fe4_O24,Ba8Y4Fe4O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.336,-275.261118,-300.773118,-7.51932795,12.0,0.695509282,0.21703671,0.662899556,0.3358386313453006,-0.510627478,-0.510430256,-1.061316504,-1.061193733,0.2509739625622102,0.2512421370825677,0.005063379,0.005415937,0.2170873881519703,0.6638741188574248,0.6954533501052665,0.3359604167867553
1265,Ca2_Sr6_Zr6_Mn2_O24,Ca2Sr6Zr6Mn2O24.vasp,NOT,train,Ca2,8.0,Ca,2.0,Sr6,Sr,6.0,,1.644,-317.453389,-337.277389,-8.431934725,6.0,0.147274243,0.02841048,0.119287568,1.6442359670201112,0.612670813,0.6124508453596036,0.5031965966014995,0.5018530903090039,0.6179642281299534,0.617969466,0.6918213250912875,0.6908419180420176,0.028438384,0.1192236970362512,0.1472149651766293,1.6439079555543668
4216,Ba8_Zr7_Mn1_O24,Ba8Zr7Mn1O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,1.123,-325.869528,-344.025528,-8.6006382,3.0,0.0,0.0,0.042858808,1.1233591643908778,0.1652408362039066,0.1643477818141636,0.1248689820458692,0.1244565982152457,0.5263435684604517,0.5262807272574062,0.4381465746261867,0.4376183522468865,4.831926898569161e-05,0.043502236,6.156783468152575e-05,1.1230441955308637
254,Ba7_Sr1_Zr7_Ti1_O24,Ba7Sr1Zr7Ti1O24.vasp,PASSED,test,Ba7,8.0,Ba,7.0,Sr1,Sr,1.0,,2.93,-331.502986,-347.990986,-8.69977465,0.0,0.0,0.0,0.022037567,2.930355736390951,1.7170757067160924,1.7168385050657704,1.0784095813505905,1.078713200659014,0.7395810643729626,0.7394560524129639,1.3746058697144217,1.3744638158473204,-4.5e-05,0.021886713,-2.35e-06,2.929938402259385
